year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2017/2018,57124050,NA,Cereal (General Mills Chex Cinnamon),1,Links to FNDDS,Base,0.881249
2017/2018,57124200,NA,"Cereal, chocolate flavored, frosted, puffed corn (Includes store brands; Cocoa Comets)",1,Links to FNDDS,Base,0.650474
2017/2018,57125000,NA,Cereal (General Mills Cinnamon Toast Crunch) (Includes French Toast Crunch),1,Links to FNDDS,Base,0.676973
2017/2018,57125010,NA,Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch) (Includes reduced sugar),1,Links to FNDDS,Base,1.228155
2017/2018,57126000,NA,Cereal (Kellogg's Cocoa Krispies),1,Links to FNDDS,Base,0.667818
2017/2018,57127000,NA,Cereal (Post Cocoa Pebbles),1,Links to FNDDS,Base,0.667555
2017/2018,57128000,NA,Cereal (General Mills Cocoa Puffs),1,Links to FNDDS,Base,0.666437
2017/2018,57130000,NA,Cereal (General Mills Cookie Crisp) (Includes all flavors),1,Links to FNDDS,Base,0.690133
2017/2018,57134000,NA,"Cereal, corn flakes (Includes store brands; NFS)",2,Links to altEC,Base,0.623314
2017/2018,57135000,NA,Cereal (Kellogg's Corn Flakes),1,Links to FNDDS,Base,0.623314
2017/2018,57137000,NA,"Cereal, corn puffs",2,Links to altEC,Base,0.866744
2017/2018,57143000,NA,Cereal (Kellogg's Cracklin' Oat Bran),1,Links to FNDDS,Base,0.889094
2017/2018,57143500,NA,"Cereal (Post Great Grains, Cranberry Almond Crunch)",1,Links to FNDDS,Base,0.827992
2017/2018,57148000,NA,Cereal (Kellogg's Crispix),1,Links to FNDDS,Base,0.937412
2017/2018,57206700,NA,Cereal (General Mills Fiber One),1,Links to FNDDS,Base,0.879744
2017/2018,57206715,NA,Cereal (General Mills Fiber One Raisin Bran Clusters),2,Links to altEC,Base,1.009071
2017/2018,57207000,NA,"Cereal, bran flakes (Includes store brands; NFS)",1,Links to FNDDS,Base,0.482207
2017/2018,57208000,NA,Cereal (Kellogg's All-Bran Complete Wheat Flakes),1,Links to FNDDS,Base,0.843843
2017/2018,57213000,NA,Cereal (Kellogg's Froot Loops),1,Links to FNDDS,Base,0.724208
2017/2018,57213010,NA,Cereal (Kellogg's Froot Loops Marshmallow),1,Links to FNDDS,Base,1.23975
2017/2018,57213850,NA,Cereal (General Mills Cheerios Frosted),2,Links to altEC,Base,0.681873
2017/2018,57214000,NA,Cereal (Kellogg's Frosted Mini-Wheats) (Includes all flavors; frosted wheat bites),1,Links to FNDDS,Base,0.576763
2017/2018,57221700,NA,"Cereal, fruit rings (Includes store brands; Frosted Fruit Rings; NFS)",1,Links to FNDDS,Base,0.397504
2017/2018,57221810,NA,Cereal (General Mills Cheerios Fruity) (Includes Very Berry Cheerios),1,Links to FNDDS,Base,0.61972
2017/2018,57223000,NA,Cereal (Post Fruity Pebbles),1,Links to FNDDS,Base,0.641542
2017/2018,57227000,NA,"Cereal, granola (Includes store brands; NFS)",1,Links to FNDDS,Base,1.009722
2017/2018,57228000,NA,"Granola, homemade",2,Links to altEC,Base,1.009722
2017/2018,57229000,NA,Cereal (Kellogg's Low Fat Granola),2,Links to altEC,Base,0.686831
2017/2018,57237100,NA,Cereal (Post Honey Bunches of Oats Honey Roasted) (Includes Honey Bunches of Oats with Real Strawberries; Honey Bunches of Oats with Cinnamon Bunches; Honey Bunches of Oats with Chocolate Bunches; Honey Bunches of Oats with Real Peaches),1,Links to FNDDS,Base,0.623858
2017/2018,57237200,NA,Cereal (Post Honey Bunches of Oats with Vanilla Bunches) (Includes with multi-grain flakes; vanilla clusters),1,Links to FNDDS,Base,0.599773
2017/2018,57237300,NA,Cereal (Post Honey Bunches of Oats with Almonds),2,Links to altEC,Base,0.599773
